Afghanistan,33.93911,67.709953,23,34656.03
Albania,41.153332,20.168331,5,2876.10
Algeria,28.033886,1.659626,150,40606.05
Andorra,42.506285,1.521801,0,77.28
Angola,-11.202692,17.873887,33,28813.46
Anguilla,18.220554,-63.068615,0,15.09
Antigua and Barbuda,17.060816,-61.796428,1,100.96
Argentina,-38.416097,-63.616672,193,43847.43
Armenia,40.069099,45.038189,6,2924.82
Aruba,12.52111,-69.968338,1,104.82
Australia,-25.274398,133.775136,400,24127.16
Austria,47.516231,14.550072,67,8747.36
Azerbaijan,40.143105,47.576927,38,9762.27
Bahamas,25.03428,-77.39628,3,391.23
Bahrain,26.0667,50.5577,33,1425.17
Bangladesh,23.684994,90.356331,76,162951.56
Barbados,13.193887,-59.543198,2,285
Belarus,53.709807,27.953389,61,9507.12
Belgium,50.503887,4.469936,100,11348.16
Belize,17.189877,-88.49765,1,366.95
Benin,9.30769,2.315834,6,10872.3
Bermuda,32.3078,-64.7505,0,65.33
Bhutan,27.514162,90.433601,1,797.76
Bolivia,-16.290154,-63.588653,21,10887.88
"Bonaire, Saint Eustatius and Saba",12.1783611,-68.2385339,0,0
Bosnia and Herzegovina,43.915886,17.679076,22,3516.82
Botswana,-22.328474,24.684866,6,2250.26
Brazil,-14.235004,-51.92528,515,207652.86
British Virgin Islands,18.420695,-64.639968,0,33.66
Brunei Darussalam,4.535277,114.727669,9,423.20
Bulgaria,42.733883,25.48583,48,7127.82
Burkina Faso,12.238333,-1.561593,3,18646.43
Burundi,-3.373056,29.918886,0,10524.12
C̫te d'Ivoire,7.539989,-5.54708,10,23695.92
Cambodia,12.565679,104.990963,6,15762.37
Cameroon,7.369722,12.354722,7,23439.19
Canada,56.130366,-106.346771,557,36286.43
Cape Verde,15.120142,-23.6051868,0,0
Cayman Islands,19.3133,-81.2546,1,66.77,60.77
Central African Republic,6.611111,20.939444,0,4594.62
Chad,15.454166,18.732207,1,14452.54
Chile,-35.675147,-71.542969,81,17909.75
China,35.86166,104.195397,10357,1378665.00
Colombia,4.570868,-74.297333,99,48653.42
Comoros,-11.6455,43.3333,0,795.6
Congo,-4.3006079,15.3123157,3,5125.82
Cook Islands,-21.236736,-159.777671,0,0
Costa Rica,9.748917,-83.753428,8,4857.27
Croatia,45.1,15.2,18,4170.60
Cuba,21.521757,-77.781167,41,11475.98
Cura̤ao,12.16957,-68.99002,5,160.00
Cyprus,35.126413,33.429859,7,1170.13
Czech Republic,49.817492,15.472962,96,10561.63
Democratic Republic of the Congo,-4.038333,21.758664,3,78736.15
Denmark,56.26392,9.501785,35,5731.12
Djibouti,11.825138,42.590275,1,942.33
Dominica,15.414999,-61.370976,0,73.54
Dominican Republic,18.735693,-70.162651,23,10648.79
Ecuador,-1.831239,-78.183406,44,16385.07
Egypt,26.820553,30.802498,219,95688.68
El Salvador,13.794185,-88.89653,7,6344.72
Equatorial Guinea,1.650801,10.267895,6,1221.49
Eritrea,15.179384,39.782334,1,1397.49,4475.00
Estonia,58.595272,25.013607,20,1316.48
Ethiopia,9.145,40.489673,11,102403.20
Faeroe Islands,61.892635,-6.911806,1,49.12
Falkland Islands (Malvinas),-51.796253,-59.523613,0,0
Fiji,-17.713371,178.065032,2,898.76
Finland,61.92411,25.748151,44,5495.10
France,46.227638,2.213749,340,66896.11
French Guiana,3.933889,-53.125782,1,250.377
French Polynesia,-17.679742,-149.406843,1,280.21
Gabon,-0.803689,11.609444,5,1979.79
Gambia,13.443182,-15.310139,0,2038.50
Georgia,32.1656221,-82.9000751,8,3719.30
Germany,51.165691,10.451526,798,82667.68
Ghana,7.946527,-1.023194,15,28206.74
Gibraltar,36.140751,-5.353585,0,34.41
Greece,39.074208,21.824312,76,10746.74
Greenland,71.706936,-42.604303,1,56.19
Grenada,12.1165,-61.679,0,107.32
Guadeloupe,16.265,-61.551,2,405.74
Guatemala,15.783471,-90.230759,14,16582.47
Guinea,9.945587,-9.696645,2,12395.92
Guinea-Bissau,11.803749,-15.180413,0,1815.70
Guyana,4.860416,-58.93018,2,773.30
Haiti,18.971187,-72.285215,3,10847.33
Honduras,15.199999,-86.241905,10,9112.87
Hong Kong,22.396428,114.109497,48,7346.70
Hungary,47.162494,19.503304,46,9817.96
Iceland,64.963051,-19.020835,3,334.25
India,20.593684,78.96288,2274,1324171.35
Indonesia,-0.789275,113.921327,537,261115.46
Iran,32.427908,53.688046,647,80277.43
Iraq,33.223191,43.679291,172,37202.57
Ireland,53.1423672,-7.6920536,37,4773.10
Israel,31.046051,34.851612,72,8547.10
Italy,41.87194,12.56738,361,60600.59
Jamaica,18.109581,-77.297508,8,2881.36
Japan,36.204824,138.252924,1237,126994.51
Jordan,30.585164,36.238414,26,9455.80
Kazakhstan,48.019573,66.923684,235,17797.03
Kenya,-0.023559,37.906193,14,48461.57
Kiribati,1.8709422,-157.3628595,0,114.39
Kuwait,29.31166,47.481766,102,4052.58
Kyrgyzstan,41.20438,74.766098,10,6083.00
Laos,19.85627,102.495496,2,6758.35
Latvia,56.879635,24.603189,7,1960.42
Lebanon,33.854721,35.862285,23,6006.67
Lesotho,-29.609988,28.233608,3,2203.82
Liberia,6.428055,-9.429499,1,4613.82
Libya,26.3351,17.228331,54,6293.25
Liechtenstein,47.166,9.555373,0,37.67
Lithuania,55.169438,23.881275,13,2872.30
Luxembourg,49.815273,6.129583,10,582.97
Macao,22.198745,113.543873,2,612.17
Macedonia (Republic of),41.608635,21.745275,8,2081.21
Madagascar,-18.766947,46.869107,3,24894.55
Malawi,-13.254308,34.301525,1,18091.58
Malaysia,4.210484,101.975766,249,31187.26
Maldives,1.9772276,73.536101,1,417.49
Mali,17.570692,-3.996166,1,17994.84
Malta,35.937496,14.375416,3,436.95
Marshall Islands,11.3246908,166.8417424,0,53.07
Martinique,14.641528,-61.024174,3,4301.02
Mauritania,21.00789,-10.940835,3,4301.02
Mauritius,-20.348404,57.552152,4,1263.47
Mexico,23.634501,-102.552784,472,127540.42
Micronesia (Federated States of),6.8874581,158.2225229,0,104.94
Moldova,47.411631,28.369885,5,3552.00
Mongolia,46.862496,103.846656,45,3027.40
Montenegro,42.708678,19.37439,2,622.78
Montserrat,16.742498,-62.187366,0,4.90
Morocco,31.791702,-7.09262,63,35276.79
Mozambique,-18.665695,35.529562,4,28829.48
Myanmar,21.916221,95.955974,14,52885.22
Namibia,-22.95764,18.49041,3,2479.71
Nauru,-0.522778,166.931503,0,13.05
Nepal,28.394857,84.124008,7,28982.77
Netherlands,52.132633,5.291266,162,17018.41
New Caledonia,-20.904305,165.618042,4,278.00
New Zealand,-40.900557,174.885971,36,4692.70
Nicaragua,12.865416,-85.207229,5,6149.93
Niger,17.607789,8.081666,2,20672.99
Nigeria,9.081999,8.675277,104,185989.64
Niue,-19.054445,-169.867233,0,1.61
North Korea,40.339852,127.510093,54,25368.62
Norway,60.472024,8.468946,44,5232.93
Oman,21.4735329,55.975413,63,4424.76
Pakistan,30.375321,69.345116,171,193203.48
Palau,7.51498,134.58252,0,21.50
Panama,8.537981,-80.782127,11,4034.12
Papua New Guinea,-6.314993,143.95555,7,8084.99
Paraguay,-23.442503,-58.443832,5,6725.31
Peru,-9.189967,-75.015152,60,31773.84
Philippines,12.879721,121.774017,113,103320.22
Poland,51.919438,19.145136,316,37948.02
Portugal,39.399872,-8.224454,51,10324.61
Qatar,25.354826,51.183884,91,2569.80
R̩union,-21.115141,55.536384,5,843.62
Republic of South Sudan,6.8769919,31.3069788,1,12230.00
Romania,45.943161,24.96676,75,19705.30
Russian Federation,61.52401,105.318756,1617,144342.40
Rwanda,-1.940278,29.873888,1,11917.51
Saint Helena,-15.9650104,-5.7089241,0,4.26
Saint Kitts and Nevis,17.357822,-62.782998,0,54.82
Saint Lucia,13.909444,-60.978893,0,178.01
Saint Pierre and Miquelon,46.8852,-56.3159,0,0
Saint Vincent and the Grenadines,13.2528179,-61.1970774,0,109.64
Samoa,-13.759029,-172.104629,0,195.13
Sao Tome and Principe,0.18636,6.613081,0,199.91
Saudi Arabia,23.885942,45.079162,601,32275.69
Senegal,14.497401,-14.452362,9,15411.61
Serbia,44.016521,21.005859,44,7057.41
Seychelles,-4.679574,55.491977,1,94.68
Sierra Leone,8.460555,-11.779889,1,7396.19
Singapore,1.352083,103.819836,55,5607.28
Slovakia,48.669026,19.699024,34,5429.00
Slovenia,46.151241,14.995463,14,2064.84
Solomon Islands,-9.64571,160.156194,0,599.42
Somalia,5.152149,46.199616,1,14318.00
South Africa,-30.559482,22.937506,462,55908.86
South Korea,35.907757,127.766922,592,51245.71
Spain,40.463667,-3.74922,273,46443.96
Sri Lanka,7.873054,80.771797,17,21203.00
Sudan,12.862807,30.217636,16,39578.83
Suriname,3.919305,-56.027783,2,558.37
Swaziland,-26.522503,31.465866,1,1343.10
Sweden,60.128161,18.643501,43,9903.12
Switzerland,46.818188,8.227512,40,8372.10
Syria,34.802075,38.996815,37,18430.45
Taiwan,23.69781,120.960515,263,23550.00
Tajikistan,38.861034,71.276093,4,8734.95
Tanzania,-6.369028,34.888822,11,55572.20
Thailand,15.870032,100.992541,312,68863.51
Timor-Leste,-8.874217,125.727539,0,1268.67
Togo,8.619543,0.824782,2,7606.37
Tonga,-21.178986,-175.198242,0,107.12
Trinidad and Tobago,10.691803,-61.222503,45,1364.96
Tunisia,33.886917,9.537499,31,11403.25
Turkey,38.963745,35.243322,386,79512.43
Turkmenistan,38.969719,59.556278,91,5662.54
Turks and Caicos Islands,21.694025,-71.797928,0,34.90
Uganda,1.373333,32.290275,5,41487.96
Ukraine,48.379433,31.16558,202,45004.64
United Arab Emirates,23.424076,53.847818,176,9269.61
United Kingdom,55.378051,-3.435973,417,65637.24
United States of America,37.09024,-95.712891,5414,323127.51
Uruguay,-32.522779,-55.765835,8,3444.01
Uzbekistan,41.377491,64.585262,109,31848.20
Vanuatu,-15.376706,166.959158,0,270.40
Venezuela,6.42375,-66.58973,175,31568.18
Vietnam,14.058324,108.277199,184,92701.10
Wallis and Futuna Islands,-14.2938,-178.1165,0,15.289
Yemen,15.552727,48.516388,26,27584.21
Zambia,-13.133897,27.849332,4,16591.39
Zimbabwe,-19.015438,29.154857,17,16150.36
